category,instance_path
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_12062
IfcPipeSegment,H:\BIMCompNet\OfficeBuilding\IfcPipeSegment\8_IfcPipeSegment_43380
IfcMember,H:\BIMCompNet\PublicBuilding\IfcMember\9_IfcMember_95
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_65817
IfcCurtainWall,H:\BIMCompNet\FactoryBuilding\IfcCurtainWall\1_IfcCurtainWall_59
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_9705
IfcWall,H:\BIMCompNet\Malls\IfcWallStandardCase\5_IfcWallStandardCase_8031
IfcCurtainWall,H:\BIMCompNet\Metro\IfcCurtainWall\6_IfcCurtainWall_75
IfcWindow,H:\BIMCompNet\School\IfcWindow\11_IfcWindow_37
IfcFlowController,H:\BIMCompNet\FactoryBuilding\IfcFlowController\1_IfcFlowController_31
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_1528
IfcDoor,H:\BIMCompNet\OfficeBuilding\IfcDoor\8_IfcDoor_79
IfcFlowController,H:\BIMCompNet\Metro\IfcFlowController\6_IfcFlowController_222
IfcFooting,H:\BIMCompNet\OfficeBuilding\IfcFooting\8_IfcFooting_6
IfcCurtainWall,H:\BIMCompNet\School\IfcCurtainWall\11_IfcCurtainWall_451
IfcDoor,H:\BIMCompNet\Metro\IfcDoor\6_IfcDoor_35
IfcDuctSegment,H:\BIMCompNet\EquipmentRoom\IfcDuctSegment\0_IfcDuctSegment_14362
IfcWindow,H:\BIMCompNet\School\IfcWindow\11_IfcWindow_286
IfcAirTerminal,H:\BIMCompNet\EquipmentRoom\IfcAirTerminal\0_IfcAirTerminal_24
IfcStairFlight,H:\BIMCompNet\Theater\IfcStairFlight\12_IfcStairFlight_190
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_647
IfcWindow,H:\BIMCompNet\Theater\IfcWindow\12_IfcWindow_19
IfcCableCarrierFitting,H:\BIMCompNet\PublicBuilding\IfcCableCarrierFitting\9_IfcCableCarrierFitting_2266
IfcFlowController,H:\BIMCompNet\FactoryBuilding\IfcFlowMeter\1_IfcFlowMeter_9
IfcStairFlight,H:\BIMCompNet\Metro\IfcStairFlight\6_IfcStairFlight_131
IfcBeam,H:\BIMCompNet\Hospital\IfcBeam\2_IfcBeam_9459
IfcEnergyConversionDevice,H:\BIMCompNet\Hospital\IfcCoil\2_IfcCoil_59
IfcRamp,H:\BIMCompNet\OfficeBuilding\IfcRamp\8_IfcRamp_76
IfcRoof,H:\BIMCompNet\Layout\IfcRoof\4_IfcRoof_216
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_697
IfcRoof,H:\BIMCompNet\Layout\IfcRoof\4_IfcRoof_95
IfcDuctSegment,H:\BIMCompNet\PublicBuilding\IfcDuctSegment\9_IfcDuctSegment_2682
IfcPlate,H:\BIMCompNet\Metro\IfcPlate\6_IfcPlate_208
IfcDamper,H:\BIMCompNet\Metro\IfcDamper\6_IfcDamper_753
IfcDuctSilencer,H:\BIMCompNet\OfficeBuilding\IfcDuctSilencer\8_IfcDuctSilencer_95
