category,instance_path
IfcWall,H:\BIMCompNet\PublicBuilding\IfcWall\9_IfcWall_11622
IfcPile,H:\BIMCompNet\ResidentialBuilding\IfcPile\10_IfcPile_6
IfcCurtainWall,H:\BIMCompNet\EquipmentRoom\IfcCurtainWall\0_IfcCurtainWall_51
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_350
IfcPipeFitting,H:\BIMCompNet\Metro\IfcPipeFitting\6_IfcPipeFitting_66
IfcBuildingElementProxy,H:\BIMCompNet\OfficeBuilding\IfcBuildingElementProxy\8_IfcBuildingElementProxy_3
IfcCableCarrierFitting,H:\BIMCompNet\Hospital\IfcCableCarrierFitting\2_IfcCableCarrierFitting_1191
IfcRamp,H:\BIMCompNet\Layout\IfcRamp\4_IfcRamp_36
IfcPipeFitting,H:\BIMCompNet\OfficeBuilding\IfcPipeFitting\8_IfcPipeFitting_334
IfcFlowController,H:\BIMCompNet\Hospital\IfcFlowMeter\2_IfcFlowMeter_16
IfcRailing,H:\BIMCompNet\OfficeBuilding\IfcRailing\8_IfcRailing_931
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_560
IfcAirTerminal,H:\BIMCompNet\Metro\IfcAirTerminal\6_IfcAirTerminal_129
IfcFurnishingElement,H:\BIMCompNet\Villa\IfcFurniture\13_IfcFurniture_53
IfcRampFlight,H:\BIMCompNet\Hospital\IfcRampFlight\2_IfcRampFlight_11
IfcPile,H:\BIMCompNet\Theater\IfcPile\12_IfcPile_8
IfcFlowStorageDevice,H:\BIMCompNet\PublicBuilding\IfcFlowStorageDevice\9_IfcFlowStorageDevice_12
IfcDoor,H:\BIMCompNet\OfficeBuilding\IfcDoor\8_IfcDoor_165
IfcDistributionControlElement,H:\BIMCompNet\ResidentialBuilding\IfcFlowInstrument\10_IfcFlowInstrument_1
IfcBuildingElementProxy,H:\BIMCompNet\PublicBuilding\IfcBuildingElementProxy\9_IfcBuildingElementProxy_10
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_593
IfcRampFlight,H:\BIMCompNet\OfficeBuilding\IfcRampFlight\8_IfcRampFlight_7
IfcLightFixture,H:\BIMCompNet\EquipmentRoom\IfcLightFixture\0_IfcLightFixture_23
IfcFlowTreatmentDevice,H:\BIMCompNet\EquipmentRoom\IfcFlowTreatmentDevice\0_IfcFlowTreatmentDevice_20
IfcColumn,H:\BIMCompNet\ResidentialBuilding\IfcColumn\10_IfcColumn_429
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_1093
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_7187
IfcReinforcingElement,H:\BIMCompNet\FactoryBuilding\IfcTendon\1_IfcTendon_150
IfcFireSuppressionTerminal,H:\BIMCompNet\EquipmentRoom\IfcFireSuppressionTerminal\0_IfcFireSuppressionTerminal_34
IfcFurnishingElement,H:\BIMCompNet\Villa\IfcFurniture\13_IfcFurniture_20
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_1656
IfcRailing,H:\BIMCompNet\Metro\IfcRailing\6_IfcRailing_55
IfcLightFixture,H:\BIMCompNet\Metro\IfcLightFixture\6_IfcLightFixture_2
IfcRoof,H:\BIMCompNet\OfficeBuilding\IfcRoof\8_IfcRoof_34
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_618
IfcFilter,H:\BIMCompNet\School\IfcFilter\11_IfcFilter_4
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_662
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_2005
IfcSanitaryTerminal,H:\BIMCompNet\Malls\IfcSanitaryTerminal\5_IfcSanitaryTerminal_207
IfcBuildingElementProxy,H:\BIMCompNet\OfficeBuilding\IfcBuildingElementProxy\8_IfcBuildingElementProxy_18
IfcLightFixture,H:\BIMCompNet\School\IfcLightFixture\11_IfcLightFixture_72
IfcDuctSilencer,H:\BIMCompNet\Metro\IfcDuctSilencer\6_IfcDuctSilencer_102
IfcRailing,H:\BIMCompNet\OfficeBuilding\IfcRailing\8_IfcRailing_635
IfcPile,H:\BIMCompNet\Hospital\IfcPile\2_IfcPile_65
