category,instance_path
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_7344
IfcWall,H:\BIMCompNet\PublicBuilding\IfcWall\9_IfcWall_1538
IfcStairFlight,H:\BIMCompNet\Theater\IfcStairFlight\12_IfcStairFlight_124
IfcPipeSegment,H:\BIMCompNet\EquipmentRoom\IfcPipeSegment\0_IfcPipeSegment_23233
IfcDamper,H:\BIMCompNet\Metro\IfcDamper\6_IfcDamper_215
IfcMember,H:\BIMCompNet\OfficeBuilding\IfcMember\8_IfcMember_93
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_6619
IfcWindow,H:\BIMCompNet\OfficeBuilding\IfcWindow\8_IfcWindow_4
IfcStair,H:\BIMCompNet\ResidentialBuilding\IfcStair\10_IfcStair_104
IfcColumn,H:\BIMCompNet\Hospital\IfcColumn\2_IfcColumn_3735
IfcWindow,H:\BIMCompNet\Villa\IfcWindow\13_IfcWindow_177
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_5381
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_3396
IfcMember,H:\BIMCompNet\Metro\IfcMember\6_IfcMember_64
IfcStair,H:\BIMCompNet\Hospital\IfcStair\2_IfcStair_201
IfcAirTerminal,H:\BIMCompNet\OfficeBuilding\IfcAirTerminal\8_IfcAirTerminal_275
IfcAirTerminal,H:\BIMCompNet\Theater\IfcAirTerminal\12_IfcAirTerminal_71
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_571
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_6996
IfcDoor,H:\BIMCompNet\Hotels\IfcDoor\3_IfcDoor_37
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_6524
IfcElementComponent,H:\BIMCompNet\OfficeBuilding\IfcBuildingElementPart\8_IfcBuildingElementPart_2
IfcWall,H:\BIMCompNet\ResidentialBuilding\IfcWall\10_IfcWall_3466
IfcPipeFitting,H:\BIMCompNet\Theater\IfcPipeFitting\12_IfcPipeFitting_997
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_34
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_9954
IfcBeam,H:\BIMCompNet\PublicBuilding\IfcBeam\9_IfcBeam_3616
IfcValve,H:\BIMCompNet\PublicBuilding\IfcValve\9_IfcValve_20
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_2466
IfcColumn,H:\BIMCompNet\PublicBuilding\IfcColumn\9_IfcColumn_3332
IfcColumn,H:\BIMCompNet\Malls\IfcColumn\5_IfcColumn_5778
IfcColumn,H:\BIMCompNet\PublicBuilding\IfcColumn\9_IfcColumn_4276
IfcWindow,H:\BIMCompNet\School\IfcWindow\11_IfcWindow_143
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_1234
IfcCurtainWall,H:\BIMCompNet\School\IfcCurtainWall\11_IfcCurtainWall_100
IfcDoor,H:\BIMCompNet\Hotels\IfcDoor\3_IfcDoor_146
IfcPipeSegment,H:\BIMCompNet\EquipmentRoom\IfcPipeSegment\0_IfcPipeSegment_59174
IfcDuctFitting,H:\BIMCompNet\Theater\IfcDuctFitting\12_IfcDuctFitting_114
IfcCableCarrierFitting,H:\BIMCompNet\PublicBuilding\IfcCableCarrierFitting\9_IfcCableCarrierFitting_1091
IfcColumn,H:\BIMCompNet\Malls\IfcColumn\5_IfcColumn_4961
IfcStair,H:\BIMCompNet\Theater\IfcStair\12_IfcStair_308
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_4596
IfcMember,H:\BIMCompNet\OfficeBuilding\IfcMember\8_IfcMember_1283
IfcAirTerminal,H:\BIMCompNet\EquipmentRoom\IfcAirTerminal\0_IfcAirTerminal_49
IfcFooting,H:\BIMCompNet\School\IfcFooting\11_IfcFooting_106
IfcSlab,H:\BIMCompNet\Villa\IfcSlab\13_IfcSlab_63
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_232
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_1051
IfcFlowMovingDevice,H:\BIMCompNet\Hospital\IfcFlowMovingDevice\2_IfcFlowMovingDevice_175
IfcWall,H:\BIMCompNet\Malls\IfcWall\5_IfcWall_4464
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_439
IfcDamper,H:\BIMCompNet\Hotels\IfcDamper\3_IfcDamper_19
IfcDoor,H:\BIMCompNet\PublicBuilding\IfcDoor\9_IfcDoor_273
